publishedAt,title,author,url,urlToImage,description
2018-01-18T12:02:17Z,Can the Trump Economy Trump Trump?,"Joel Kotkin, City Journal",https://www.realclearpolitics.com/2018/01/18/can_the_trump_economy_trump_trump_431798.html,,"Joel Kotkin, City Journal The president's economic policies are showing marked success, but he may not benefit politically unless he learns how to get out of his own way."
2018-01-24T09:00:00Z,Can the Trump Economy Trump Trump?,Joel Kotkin,http://www.nationalreview.com/article/455707/donald-trump-economic-growth-will-republicans-benefit-politically,http://c1.nrostatic.com/sites/default/files/uploaded/trump1200.jpg,"Editor’s Note: The following piece originally appeared in City Journal. It is reprinted here with permission.


	President Trump’s critics find it hard to give him credit for anything, especially given his extraordinary boastfulness. Yet Trump’s economic poli…"
2017-10-02T12:40:42Z,Trump undermines the Trump administration...,Steve Benen,http://www.msnbc.com/rachel-maddow-show/trump-undermines-the-trump-administration-north-korea,http://www.msnbc.com/sites/msnbc/files/styles/ratio--1_91-1--1200x630/public/664142230.jpg?itok=PbxLD1Xx,Secretary of State Rex Tillerson9s resignation should be a foregone conclusion at this point. Donald Trump is humiliating him on a global scale.
2017-10-10T03:00:39Z,Report: Trump loyalist says Trump...,,http://www.msnbc.com/brian-williams/watch/gop-sen-corker-to-nyt-trump-could-lead-us-toward-world-war-iii-1067310659753,http://media1.s-nbcnews.com/j/MSNBC/Components/Video/201710/2017-10-10T03-00-02-133Z--1280x720.video_1067x600.jpg,Pres. Trump9s public feud with outgoing Sen. Bob Corker (R-TN) heats up as new reports state the President is increasingly isolated and tensions are about to boil over among Trump and his staff.
2017-10-06T22:14:14Z,"Friedensnobelpreis, Trump | Donald Trump - Friedensnobelpreis",karlderkarpfen,https://www.freitag.de/autoren/karlderkarpfen/donald-trump-friedensnobelpreis-1,https://www.freitag.de/++theme++freitag.theme/build/assets/img/community_social_media_share.jpg,"Wir reiben uns verwundert die Augen: Donald Trump wurde für den Friedensnobelpreis vorgeschlagen....keine ENTE !!!! Als ich heute morgen die Medien checkte, stellte ich mit Überraschung fest, und hielt es zunächst für einen Gag, daß Donald Trump.....ja DER Do…"
2017-10-28T04:16:22Z,Candidate Trump vs. President Trump,,http://www.msnbc.com/brian-williams/watch/candidate-trump-vs-president-trump-1083390531960,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201710/n_bwms_e_trump_172717_1920x1080.video_1067x600.jpg,"The New Republic’s Elizabeth Drew discusses her new piece “Who Knew Trump Would Be a Weak President."""
2018-01-31T06:54:47Z,Donald Trump: Trump wirkt,ZEIT ONLINE: Ausland - Heike Buchter,http://www.zeit.de/politik/ausland/2018-01/donald-trump-usa-wirtschaft-lage-der-nation,http://img.zeit.de/politik/ausland/2018-01/donald-trump-8/wide__1300x731,"Die Beliebtheitswerte des US-Präsidenten mögen noch so schlecht sein, die Unternehmen lieben ihn: Denn er hat die Wirtschaft dereguliert und Steuergeschenke verteilt."
2018-02-03T15:19:00Z,Trump claims GOP memo totally vindicates 'Trump',Jenna Johnson,http://www.chicagotribune.com/news/nationworld/politics/ct-trump-memo-20180203-story.html,http://www.trbimg.com/img-5a75d429/turbine/ct-trump-memo-20180203,"President Trump said Saturday morning that a disputed four-page House Intelligence Committee memo, composed by Republicans and declassified by him on Friday, ""totally vindicates 'Trump'” in an FBI investigation into Russian interference in the 2016 election, …"
2018-02-21T01:00:19Z,"Fmr. Trump aide: Donald Trump ""screws everyone""",,https://www.msnbc.com/the-beat-with-ari-melber/watch/fmr-trump-aide-donald-trump-screws-everyone-1166089283533,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201802/n_ari_samn_180220_1920x1080.1200;630;7;70;5.jpg,"On the day Bob Mueller obtained a guilty plea from a lawyer in the Russia probe, former Trump campaign aide Sam Nunberg, who was cited 19 times in ‘Fire and Fury’, tells Ari Melber he’s “worried” about Trump’s own lawyer Michael Cohen. Nunberg says for the fi…"
2018-02-27T19:39:00Z,Trump kiest campagneleider voor Trump 2020,km,http://www.standaard.be/cnt/dmf20180227_03380718,https://dsocdn.akamaized.net/Assets/Images_Upload/2018/02/27/ea5cb3be-1bf5-11e8-9bb5-be506db47fb3_web_scale_0.0529982_0.0529982__.jpg,De Amerikaanse president Donald Trump heeft digitale-informatiestrateeg Brad Parscale benoemd tot campagneleider voor de herverkiezing van Trump in 2020.
